Name,Description,Category,Unit Price,Bookable,Duration Minutes,Quantity Enabled,Minimum Quantity,Maximum Quantity,Taxable,Active
Carpentry: Exterior Post Repair,"",Service,65.0,false,,"","","",true,true
Carpentry: Exterior Temporary Overhang Support Construction,"",Service,65.0,false,,"","","",true,true
Exterior: Flashing Installation,"",Service,75.0,false,,"","","",true,true
Carpentry: Replace Fence Board,"",Service,65.0,false,,"","","",true,true
Plumbing: Shower Mixer Valve Replacement,"",Service,250.0,false,,"","","",true,true
Caulk Bathroom Sink,"",Service,65.0,false,,"","","",true,true
Flooring: Hardwood Flooring Repair,"",Service,65.0,false,,"","","",true,true
Plumbing: Cap Gas Line,"",Service,250.0,false,,"","","",true,true
Carpentry: TV Mount,"",Service,300.0,false,,"","","",true,true
Electrical: Install New Junction Box and Outlet,"",Service,250.0,false,,"","","",true,true
Carpentry: Wainscoting,"",Service,65.0,false,,"","","",true,true
Electrical: Re-Install Panel Covers,"",Service,50.0,false,,"","","",true,true
Materials: Panel cover fasteners,"",Service,5.0,false,,"","","",true,true
Materials: Electrical Panel Covers,"",Service,110.0,false,,"","","",true,true
Painting: Caulk / touch ups for baseboard shoe,"",Service,65.0,false,,"","","",true,true
HVAC: Bathroom Vent Fan Ductwork Adjustments,"",Service,65.0,false,,"","","",true,true
Carpentry: Crown Molding Installation,"",Service,65.0,false,,"","","",true,true
Tile: Shower Niche,"Install one standard sized shower niche in guest bathroom shower
If when walls are opened, substantial changes to framing or moving of plumbing / electrical are required to accommodate niche, will require change order at additional cost",Service,65.0,false,,"","","",true,true
Misc: Tree Removal,"",Service,65.0,false,,"","","",true,true
Misc: Poly Injection,"",Service,65.0,false,,"","","",true,true
Materials: Footing,"",Service,0.0,false,,"","","",true,true
Materials: Poly Injection,"",Service,0.0,false,,"","","",true,true
Concrete: Install new Sidewalk,"",Service,65.0,false,,"","","",true,true
Materials: Sidewalk,"",Service,0.0,false,,"","","",true,true
Exterior: French Drain,"",Service,0.0,false,,"","","",true,true
Materials: French Drain,"",Service,0.0,false,,"","","",true,true
Masonry: Tuckpointing,"",Service,0.0,false,,"","","",true,true
Materials: Tuckpointing,"",Service,0.0,false,,"","","",true,true
Exterior: Siding Repair,"",Service,65.0,false,,"","","",true,true
Materials: Siding Repair,"",Service,0.0,false,,"","","",true,true
Exterior: Gutters,"",Service,0.0,false,,"","","",true,true
Materials: Gutters,"",Service,0.0,false,,"","","",true,true
Exterior: Facia,"",Service,0.0,false,,"","","",true,true
Materials: Facia,"",Service,0.0,false,,"","","",true,true
Exterior: Roofing,"",Service,0.0,false,,"","","",true,true
Material: Shingles,"",Service,0.0,false,,"","","",true,true
Materials: Window,"",Service,0.0,false,,"","","",true,true
Exterior: Guardrail,"",Service,0.0,false,,"","","",true,true
Materials: Guardrail,"",Service,0.0,false,,"","","",true,true
Exterior: Fencing,"",Service,0.0,false,,"","","",true,true
Materials: Fencing,"",Service,0.0,false,,"","","",true,true
Carpentry: Cabinet Handle Repair,"",Service,0.0,false,,"","","",true,true
Carpentry: Repair bifold door,"",Service,65.0,false,,"","","",true,true
Comed Coordination,"",Service,500.0,false,,"","","",true,true
Exterior: Wood Trim Replacement,"",Service,65.0,false,,"","","",true,true
Exterior: Caulking,"",Service,65.0,false,,"","","",true,true
Tile: Long Format Adjustment,"",Service,65.0,false,,"","","",true,true
Electrical: Outlet Elimination,"",Service,100.0,false,,"","","",true,true
Plumbing: Drain Flange Adjustment,"",Service,150.0,false,,"","","",true,true
Carpentry: Window Re-frame,"",Service,65.0,false,,"","","",true,true
Electrical: Replace Existing Exterior Light Fixture With New,"",Service,65.0,false,,"","","",true,true
Carpentry: Kitchen Cabinet Repair,"",Service,65.0,false,,"","","",true,true
Travel Surcharge,"",Service,500.0,false,,"","","",true,true
Tile: Floor Sealant Application,"",Service,65.0,false,,"","","",true,true
Walkup Surcharge,"",Service,1000.0,false,,"","","",true,true
Plumbing: Rough Connection for Shower Drain,"1st floor and master bathroom showers
Adjust tub drain connection to shower connection",Service,2500.0,false,,"","","",true,true
Tile: Install and grout new Tile Floor,"Includes professional layout, wet cutting of tile as required for proper fit, setting, and grouting tile.  

Does not include shelves, niches, benches, or decorative inlays. If desired, these require a change order at additional cost.

Customer to provide tile and grout.

Pricing assumes large-format tile approximately 12x12 or 12×24. Smaller format, mosaic, or specialty tile patterns require a change order due to increased labor.",Service,75.0,false,,"","","",true,true
Carpentry: Towel Bar Set Install,"All 3 bathrooms
Customer to provide towel bar",Service,120.0,false,,"","","",true,true
Materials: Laminate Flooring,Budget for customer material selection: $3 / Sq Ft,Service,3.0,false,,"","","",true,true
Materials: Shoe Trim,Budget for customer material selection: $1 per LF,Service,1.0,false,,"","","",true,true
Materials: Caulk,"",Service,10.0,false,,"","","",true,true
Electrical: Extended Electric for Bathroom Vent Fan,"",Service,250.0,false,,"","","",true,true
Tile: Tile Format Size Adjustment: Mosaic,Installation of mosaic floor instead of standard format bathroom floor,Service,65.0,false,,"","","",true,true
Exterior: Power Wash and Paint Prep,"",Service,65.0,false,,"","","",true,true
"Cleaning: Carpeted Stairwell, 3 Stories","",Service,65.0,false,,"","","",true,true
Materials: Contractor Bags,"",Service,100.0,false,,"","","",true,true
Materials: Drywall,"Mud
Tape
Drywall",Service,100.0,false,,"","","",true,true
Materials: Fastners,"",Service,100.0,false,,"","","",true,true
Materials: Paint Supplies,"Brushes
Rollers
Tape
Drop Cloths",Service,100.0,false,,"","","",true,true
Materials: Baseboard Supplies,"Nails / Fasteners
Caulk",Service,50.0,false,,"","","",true,true
Materials: Copper Water Lines,"",Service,200.0,false,,"","","",true,true
Materials: Durock,"",Service,200.0,false,,"","","",true,true
Materials: Redgard,"",Service,100.0,false,,"","","",true,true
Materials: Bathroom Tile Supplies,"Thinset
Spacers
Sponges
etc",Service,250.0,false,,"","","",true,true
Plumbing: Swap Galvanized with Copper Water Lines,"",Service,500.0,false,,"","","",true,true
Plumbing: Relocate stove gas line,"",Service,500.0,false,,"","","",true,true
Flooring: Install new vinyl flooring,Install new vinyl flooring in 770 sq ft of living space,Service,4.5,false,,"","","",true,true
Materials: Vinyl Flooring,Budget for customer material selection: $3 / Sq Ft,Service,3.0,false,,"","","",true,true
Swap light bulb,Swap light bulb on second floor back stairwell that is out,Service,25.0,false,,"","","",true,true
Unit 2 doorbell fix,Unit 2 mentioned doorbell is no longer ringing,Service,55.0,false,,"","","",true,true
Electrical: Repair Exterior Light Fixture,"",Service,65.0,false,,"","","",true,true
Materials: Light Fixture Bracket,"",Service,10.0,false,,"","","",true,true
Plumbing: Two Way Diverter,"",Service,400.0,false,,"","","",true,true
Carpentry: Reverse Swing of Prehung Door,"",Service,250.0,false,,"","","",true,true
Materials: 2 Way Diverter Rough Materials,"",Service,40.0,false,,"","","",true,true
Tile: Tiled Baseboard Trim,"Customer to provide tile and grout
Large format tile 12x12 or 12x24
If smaller format tile is desired, will require a change order at additional cost",Service,75.0,false,,"","","",true,true
Insulation: Insulate One Interior Ceiling,"",Service,65.0,false,,"","","",true,true
Carpentry: Install Storage Niche in Wall,"",Service,65.0,false,,"","","",true,true
Carpentry: Finish new height of fireplace,"",Service,65.0,false,,"","","",true,true
Tile: Install Tiled Steps,"Customer to provide tile and grout
Large format tile 12x24
If smaller format tile is desired, will require a change order at additional cost",Service,75.0,false,,"","","",true,true
Plumbing: Drain and Water Lines for New Vanity Placement,"",Service,70.0,false,,"","","",true,true
Materials: Tub Rough In,"",Service,200.0,false,,"","","",true,true
Materials: Rough Plumbing,"Copper, PVC, fittings, etc",Service,400.0,false,,"","","",true,true
Materials: Misc Electrical,"",Service,100.0,false,,"","","",true,true
Plumbing: Rough Plumbing for Toilet,Water and drain lines,Service,400.0,false,,"","","",true,true
Materials: Demo Supplies,"Contractor bags, etc",Service,100.0,false,,"","","",true,true
Materials: Shower Pan,"",Service,150.0,false,,"","","",true,true
Plumbing: Rough Plumbing for Vanity,Includes drain and water lines,Service,500.0,false,,"","","",true,true
Carpentry: Door Threshold Repair,"",Service,65.0,false,,"","","",true,true
Materials: Door Threshold Repair,"",Service,30.0,false,,"","","",true,true
Misc: Replace Glass Shower Door Gasket,"",Service,65.0,false,,"","","",true,true
Materials: Shower Door Gasket,"",Service,20.0,false,,"","","",true,true
HVAC: Repair Loose Air Vent,"",Service,65.0,false,,"","","",true,true
Materials: Grout,"",Service,50.0,false,,"","","",true,true
Framing: Frame out Closet,"",Service,65.0,false,,"","","",true,true
Carpentry: Install Heated Towel Rack,"",Service,65.0,false,,"","","",true,true
Carpentry: Picture Hanging (Large),"",Service,100.0,false,,"","","",true,true
Electrical: Install New Light Fixture,"Customer to provide light fixture
Will use existing electrical.  If substantial updates are needed will require a change order at additional cost",Service,350.0,false,,"","","",true,true
Electrical: Run New Light Switch for Room light,"",Service,200.0,false,,"","","",true,true
Carpentry: Install Electric Fireplace,Customer to provide fireplace,Service,400.0,false,,"","","",true,true
Electrical: Switch Rewiring,"",Service,250.0,false,,"","","",true,true
Tile: Small format tile surcharge,"",Service,65.0,false,,"","","",true,true
Materials: Cabinets,"",Service,350.0,false,,"","","",true,true
Materials: Cabinet Pulls,"",Service,10.0,false,,"","","",true,true
Materials: Interior Paint,"Paint
Primer",Service,100.0,false,,"","","",true,true
Materials: Baseboard Trim and Shoe,"Budget: 
$3 per LF of baseboard
$1 per LF of shoe
",Service,6.0,false,,"","","",true,true
Materials: Recessed Lights,Budget: $15 per light,Service,20.0,false,,"","","",true,true
Materials: Outlet,"",Service,10.0,false,,"","","",true,true
Electrical: Install New Light Switch,"",Service,250.0,false,,"","","",true,true
Materials: Light Switch,"",Service,10.0,false,,"","","",true,true
Tile: Install Half Wall Tile,"Customer to provide tile and grout
Large format tile 12x24
If smaller format tile is desired, will require a change order at additional cost",Service,75.0,false,,"","","",true,true
Handyman Surcharge,"",Service,150.0,false,,"","","",true,true
Appliance: Dishwasher Repair,"",Service,65.0,false,,"","","",true,true
Plumbing: Hot Water Heater Corrosion Repair,"",Service,75.0,false,,"","","",true,true
Materials: Cedar Plank Fence Board,"",Service,25.0,false,,"","","",true,true
Plumbing: Condo Water Shutoff Coordination,"",Service,500.0,false,,"","","",true,true
Appliance: Hood Vent Repair,"",Service,65.0,false,,"","","",true,true
Electrical: Relocate Light Fixture,"",Service,250.0,false,,"","","",true,true
Exteior caulk,"",Service,65.0,false,,"","","",true,true
Shopping time,"",Service,130.0,false,,"","","",true,true
Flooring: Install new laminate flooring (Complex),$4 per sq ft,Service,5.0,false,,"","","",true,true
